NOMBRE,TIPO,UBICACIÓN,
"clavesAccesosigloxxi","Almacén de claves","East US"
"Comics (siglo-xxi-server/Comics)","Base de datos SQL","East US"
"DB_SigloXXI (siglo-xxi-server/DB_SigloXXI)","Base de datos SQL","East US"
"siglo-xxi-server","SQL Server","East US"
"siglo_XXI_AD","Servicio de Azure Databricks","East US"
"sigloxxietlsa","Cuenta de almacenamiento","East US"
